PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG	HMBD
1482	(12 or 13)-methylmyristate (a15:0 or i15:0)	Lipid	"Fatty Acid, Branched"	38293	LC/MS Neg	100002344	5499	241.2173	151014	2485-71-4		
1485	(14 or 15)-methylpalmitate (a17:0 or i17:0)	Lipid	"Fatty Acid, Branched"	38768	LC/MS Neg	100002945	5695	269.2487	17903417			
1489	(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	"Fatty Acid, Branched"	38296	LC/MS Neg	100002356	5993	297.2799	3083779	2724-59-6		HMDB37397
1357	(2 or 3)-decenoate (10:1n7 or n8)	Lipid	Medium Chain Fatty Acid	63436	LC/MS Neg	100021502	4990	169.1234				
4767	"(2,4 or 2,5)-dimethylphenol sulfate"	Xenobiotics	Food Component/Plant	62533	LC/MS Neg	100020519	3474	201.0227				
489	(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	57814	LC/MS Pos Early	100016038	3080	188.1757	123689;496			
1719	(R)-3-hydroxybutyrylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	43264	LC/MS Pos Early	100003926	2400	248.1493	53481617			HMDB13127
1720	(S)-3-hydroxybutyrylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	52984	LC/MS Pos Early	100009271	2340	248.1493				HMDB13127
4775	(S)-a-amino-omega-caprolactam	Xenobiotics	Food Component/Plant	63339	LC/MS Pos Early	100021329	2378	129.1022	439823	21568-87-6	C05328	
2567	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	44621	LC/MS Neg	100005372	6250	462.299				
2544	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	Lipid	Plasmalogen	52689	LC/MS Pos Late	100009014	2154	766.5745				HMDB11220
2536	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	Lipid	Plasmalogen	52673	LC/MS Pos Late	100009002	2270	724.5276				HMDB11352
