COMP ID,S100/8123,S101/8118,S102/8145,S103/8150,S104/8162,S105/8151,S106/8079,S107/8192,S108/8103,S109/8446,S110/8096,S111/8449,S112/8459,S113/8451,S114/8452,S115/8234,S116/8209,S117/8026,S118/8490,S119/8130,S120/8477,S121/8264,S122/8134,S123/8176,S124/8220,S125/8210,S126/8135,S127/8112,S128/8202,S129/8204,S130/8507,S131/8274,S132/8297,S133/8222,S134/8546,S135/8381,S136/8391,S137/8574,S138/8047,S139/8583,S140/8013,S141/8080,S142/8621,S143/8071,S144/8417,S145/8371,S146/8430,S147/8639,S148/8242,S149/8312
,"5,903,159","5,663,737","5,147,226","1,737,881",,"5,947,043","3,371,755","6,546,006","1,539,508","6,653,779","7,924,918","10,568,165","5,774,013","3,331,471","3,021,073","2,869,069","2,410,568","9,935,144","5,142,067","3,375,262","2,530,582","3,481,954","5,053,049","1,714,785","3,129,680","3,696,960","2,789,271","3,490,492","3,974,091","7,324,546","2,427,779","7,882,848","1,915,306","6,181,182","5,631,905","3,537,097","2,145,987","6,286,019","2,280,174","2,322,916","4,965,801","2,536,963","1,914,955","3,008,419","5,031,179","2,978,958","11,188,075","4,367,276","2,713,369","14,531,585"
,"24,728,476","13,505,838","14,950,350","4,810,293","6,732,866","21,997,594","11,729,374","19,707,016","5,614,836","17,073,016","15,248,463","23,724,426","20,488,094","9,198,122","7,822,053","8,006,149","5,660,290","32,738,178","13,214,931","9,002,919","6,844,574","11,417,987","15,183,803","6,013,942","10,622,703","8,084,066","6,929,522","12,344,197","13,136,642","18,796,376","8,012,499","21,480,740","7,890,054","19,144,718","17,914,900","13,118,832","8,406,578","26,312,464","6,017,033","7,574,662","11,617,086","8,728,565","3,770,438","11,668,994","19,391,216","12,219,836","21,225,984","14,233,972","10,719,855","34,336,664"
HMDB37397,"2,003,671","1,616,487","944,995","574,594","614,774","1,472,496","1,010,018","1,824,486","781,266","2,264,328","955,983","1,458,403","1,588,945","832,527","673,079","1,002,597","517,141","2,278,554","860,868","818,445","628,036","1,698,539","1,300,966","705,826","822,253","777,921","621,989","1,431,987","1,060,163","1,659,876","837,225","1,949,093","843,966","1,721,338","1,571,981","1,418,227","901,267","1,892,053","695,494","818,375","1,238,198","932,107","401,117","1,130,841","1,703,080","1,188,303","1,423,749","1,235,898","1,314,758","2,102,083"
,"545,451","255,160","1,026,676","336,537","346,335","518,123","1,059,759","1,112,599","249,858","1,016,156","234,468","885,027","943,421","537,196","736,039","933,356","194,724","513,132","498,273","455,158","796,120","244,733","669,857","313,140","573,506","409,644",,"605,877","574,593","697,166","579,519","635,131","499,921","1,037,449","904,693","1,134,859","797,492","751,036","854,601","665,854","659,563","816,226","261,173","1,395,171","725,687","540,545","403,863","334,166","638,447","2,277,111"
,"65,142","1,830,355","1,009,279","25,655","347,496","55,415","1,520,953",,,,"1,087,166","50,270","88,552","178,811","42,410","327,623","198,790","902,053","568,017","20,787","22,125","569,358",,,"442,299","22,097","30,905",,"47,221","924,955","93,948","594,689","21,236","483,543","1,266,985","18,855","566,967","630,149","39,847","41,008","484,213",,"418,229","16,608","212,793","459,773","698,501","683,945","103,081","198,934"
,"794,212","950,608","1,258,243","1,368,980","1,298,900","1,418,289","937,096","730,146","983,118","516,900","833,233","629,712","871,012","1,472,416","1,662,461","1,051,978","2,181,805","1,086,438","1,109,641","1,024,439","1,162,005","974,788","1,093,360","1,248,163","3,124,091","860,672","1,760,489","1,211,665","829,216","838,624","1,966,533","983,053","2,470,382","645,354","1,100,882","1,258,365","1,343,419","1,310,606","1,372,844","1,041,176","1,681,080","1,249,277","2,982,679","1,034,793","1,368,676","993,960","915,331","1,304,175","908,605","1,132,501"
HMDB13127,"2,664,588","668,899","2,201,114","1,552,280","730,127","1,255,740","1,445,071","3,316,082","659,189","1,479,484","1,491,855","1,422,068","3,152,372","717,896","1,806,777","3,706,190","1,078,263","1,890,669","1,307,856","523,037","677,226","1,317,461","1,555,532","851,784","1,509,094","367,508","717,656","1,062,771","1,201,324","938,749","1,245,639","2,276,282","1,384,108","1,194,731","6,263,290","1,368,905","1,919,661","243,994","522,038","967,952","2,048,359","651,607","436,112","1,760,865","2,257,267","477,985","625,134","969,698","914,937","3,228,381"
HMDB13127,"2,630,941","1,687,260","2,200,811","4,057,105","1,228,823","2,436,412","1,794,447","2,384,092","1,991,036","2,222,639","2,793,626","1,903,186","3,220,051","1,587,508","2,115,947","1,995,739","2,930,411","3,457,388","4,162,421","1,754,144","3,110,690","940,110","1,966,836","2,287,376","4,345,234","1,654,518","1,194,162","2,616,514","2,988,618","2,260,197","2,115,448","2,124,405","2,075,555","1,713,986","4,596,136","2,071,508","2,343,098","717,163","1,153,255","1,479,555","1,927,071","2,037,778","2,028,712","2,854,106","1,805,838","1,474,353","963,518","2,118,113","1,129,401","1,867,429"
,"517,301","429,813","343,789","901,953","500,787","554,406","400,014","510,137","304,325","495,309","396,131","389,610","418,857","711,325","559,902","402,468","916,476","494,648","476,769","634,015","485,851","466,214","462,634","383,933","1,136,053","556,442","721,155","341,383","587,714","516,173","719,314","633,453","735,681","704,148","806,221","864,214","508,900","818,087","642,521","633,827","684,711","995,674","885,453","463,570","686,441","559,649","512,582","524,030","612,106","524,860"
,"2,639,039","855,336","755,825","1,573,862","2,430,069","1,061,930","1,706,001","2,946,684","1,443,328","3,999,278","1,454,337","921,002","1,383,195","960,214","1,251,487","943,268","825,455","2,517,424","925,801","1,673,922","1,342,011","2,075,890","1,958,968","3,288,964","2,445,943","2,839,007","2,358,754","3,381,851","768,876","1,048,288","1,179,535","4,148,893","2,745,769","4,297,309","1,156,091","3,239,547","1,921,576","3,147,766","2,120,696","1,697,644","814,900","2,075,507","2,851,706","3,108,602","1,094,143","1,758,156","1,423,174","1,573,890","1,484,455","1,496,830"
